"E, mV","I, uA"
-1390.656066,39.40120384
-1392.133444,38.78012205
-1399.788946,38.29462854
-1382.060414,39.33122279
-1382.060414,38.75387916
-1380.932235,38.04007248
-1378.299817,37.3192677
-1374.807833,36.72267927
-1372.505426,35.88309416
-1370.241393,35.11923854
-1366.749409,34.46054194
-1365.137725,33.86220399
-1363.794654,33.13040218
-1360.302671,32.47657926
-1357.885143,31.8476246
-1356.273459,31.20904755
-1353.25155,30.39551788
-1350.632562,29.74206986
-1346.442182,29.08074896
-1345.475171,28.38268802
-1341.607128,27.78959865
-1338.276313,27.13265157
-1336.530321,26.47220544
-1332.098188,25.8358153
-1327.263134,25.25191094
-1324.308379,24.46802602
-1318.398868,23.77968467
-1316.464846,23.10261804
-1312.642851,22.54701852
-1307.922917,21.99123154
-1303.893706,21.36358903
-1299.058651,20.7600025
-1293.532875,20.04269677
-1288.46758,19.42036532
-1280.792891,18.92300002
-1274.883381,18.30082478
-1267.004033,17.61085539
-1257.845571,16.94603545
-1248.290583,16.35557037
-1237.00879,15.80446962
-1223.30947,15.18484577
-1207.998465,14.63403662
-1191.075776,14.16190312
-1173.347244,13.8183598
-1155.618712,13.71815967
-1137.89018,13.94480283
-1123.385018,14.50544644
-1112.103225,15.12215442
-1105.656486,15.73230167
-1098.403904,16.39493471
-1092.763008,16.99852123
-1088.733796,17.67646262
-1083.495821,18.31394622
-1079.86953,19.20292421
-1074.228634,19.99677171
-1069.662194,20.99618853
-1064.443405,21.91718909
-1062.140998,22.57601066
-1058.649015,23.20496532
-1052.701131,24.02411847
-1047.635836,24.79703414
-1042.800782,25.58519568
-1029.907304,25.94973331
-1018.894125,25.22129423
-1015.402142,24.52648241
-1010.567088,23.92664487
-1006.422755,23.06062941
-1002.508664,22.43604857
-999.2852946,21.75973174
-996.5224065,20.84872847
-991.7640992,20.14766834
-989.8838004,19.53533418
-986.3918169,18.70868307
-982.1611445,17.93014392
-978.3333933,17.13723367
-975.1100239,16.52090059
-970.2749697,15.980297
-967.5888285,15.29710703
-960.0676332,14.60750213
-953.4674006,13.95059671
-946.9950794,13.36825443
-933.2062213,12.58017242
-915.4776894,12.02668595
-897.7491576,11.65451402
-880.0206257,11.48035665
-862.2920939,11.35629934
-844.563562,11.3515279
-826.8350302,11.39685653
-809.1064983,11.46127091
-791.3779664,11.46127091
-773.6494346,11.5018281
-755.9209027,11.57817106
-738.1923709,11.77141418
-722.0755237,12.21356716
-709.9878884,12.79091079
-699.5119377,13.37700206
-693.0651989,13.98714931
-684.4695471,14.69206257
-678.5600365,15.33647137
-672.91914,16.00457168
-666.8177621,16.63112074
-660.0256622,17.25220253
-646.3263422,17.58540774
-633.4328645,17.01426697
-628.5978103,16.41789724
-623.4941421,15.89194593
-616.7787891,15.25482682
-608.7203655,14.52585758
-595.5582737,13.81329015
-580.2472689,13.28395908
-562.518737,13.13127316
-544.7902052,13.32928771
-530.2850428,13.88311499
-519.1823258,14.46462416
-512.3550503,15.10575261
-505.8795314,15.67887864
-500.630044,16.32145461
-495.7489417,16.98727428
-491.3359955,17.51900527
-487.6905182,18.31066586
-482.6252233,19.01172599
-478.7111319,19.84150126
-473.8760778,20.52381647
-468.8107829,21.29110866
-456.4698828,22.12900673
-444.8657529,22.01966134
-438.419014,21.34171995
-433.5839599,20.73550913
-428.7489058,20.06019203
-424.5585255,19.37087872
-419.0787975,18.59146481
-411.8262163,17.78908837
-405.3794774,17.03460521
-398.9327385,16.36541145
-390.874315,15.77494637
-375.5633102,15.10903297
-357.8347783,14.74878963
-340.1062465,14.77503252
-322.3777146,14.95396133
-304.6491828,15.30704752
-286.9206509,15.74840526
-270.8038038,16.2433091
-256.2986413,16.80898923
-240.9876366,17.45252327
-224.0649471,17.96950826
-206.3364152,18.2200086
-188.6078833,17.98382256
-170.8793515,17.59972204
-153.1508196,17.41840751
-135.4222878,17.53292195
-117.6937559,17.88362243
-99.96522406,18.39178026
-83.84837692,18.92300002
-70.14905685,19.51783892
-57.25557914,20.13454689
-45.16794378,20.72501198
-34.69199314,21.36358903
-24.48465662,22.01528753
-17.50068952,22.54014538
-8.367809476,23.23558203
-1.383842381,23.69920646
5.485004377,24.24905755
10.83810003,24.88123008
17.4575194,25.52746131
23.32865657,26.1769729
29.77539543,27.00690438
35.41629193,27.63564035
41.05718843,28.30592756
46.37574798,28.96528024
48.30976964,29.62660113
53.14482378,30.26430342
57.97987792,31.41242997
56.36819321,30.72355404
63.04517274,32.25688876
65.71596455,32.96469706
68.11046756,33.8352113
70.60474152,34.46754004
73.29088271,35.10611709
75.47816911,36.2270635
72.48504035,35.60473205
78.12593685,37.13556745
79.73762157,37.7741445
82.15514864,38.53081457
85.37851807,39.52476413